epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,58.5423,1.22507,1.67025,1.13511,0.95574,0.8861,0.93484,0.58715,1.23249,0.88228,1.13368,0.00997738,0.00332579,0.00997738,0.00332579,0.00997738,0.00332579,0.00997738,0.00332579
2,104.452,1.2221,0.89933,1.12409,0.93925,0.90524,0.93514,0.57354,1.26662,0.75609,1.17602,0.0197796,0.0065932,0.0197796,0.0065932,0.0197796,0.0065932,0.0197796,0.0065932
3,146.871,1.26248,0.8133,1.14857,0.89693,0.85629,0.91129,0.58917,1.24269,0.78521,1.17021,0.0293838,0.00979461,0.0293838,0.00979461,0.0293838,0.00979461,0.0293838,0.00979461
4,187.77,1.26992,0.78777,1.17638,0.94518,0.86014,0.91188,0.51993,1.40772,0.82216,1.32121,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,228.612,1.23104,0.72342,1.15645,0.94777,0.88702,0.9313,0.61228,1.22116,0.70454,1.18851,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,269.749,1.21627,0.68852,1.15463,0.96193,0.88565,0.93127,0.60482,1.2571,0.66479,1.18177,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,310.671,1.21376,0.67337,1.15628,0.96264,0.9039,0.94562,0.6355,1.17156,0.60311,1.14913,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,351.606,1.1886,0.65205,1.13791,0.96973,0.9139,0.95147,0.64138,1.17775,0.57507,1.14535,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,392.118,1.18341,0.63754,1.12804,0.96864,0.92528,0.95546,0.64494,1.16811,0.58445,1.1431,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,432.881,1.16048,0.61552,1.11411,0.9689,0.90852,0.9511,0.65041,1.18966,0.55724,1.13809,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,473.082,1.15845,0.60643,1.11635,0.97501,0.90615,0.95083,0.64489,1.17451,0.55512,1.11606,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,513.804,1.15559,0.60048,1.10812,0.96882,0.92018,0.95593,0.66008,1.13796,0.52387,1.1146,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,554.177,1.13605,0.58066,1.10287,0.97308,0.92236,0.95761,0.65225,1.14248,0.54157,1.11173,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,595.12,1.13761,0.57208,1.10271,0.97196,0.92392,0.95656,0.66071,1.13216,0.53379,1.10392,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,635.537,1.14007,0.56425,1.10603,0.97358,0.89932,0.94959,0.62957,1.19964,0.5674,1.13896,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,682.789,1.12555,0.56454,1.09382,0.97745,0.92816,0.9626,0.67223,1.12311,0.50475,1.09839,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,723.292,1.11919,0.5563,1.09207,0.97926,0.92484,0.96379,0.6725,1.12681,0.51011,1.10784,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,763.327,1.12432,0.5543,1.09243,0.98376,0.93837,0.96668,0.67602,1.10455,0.49003,1.08113,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,803.441,1.10583,0.54225,1.0827,0.97744,0.93166,0.96687,0.67721,1.11189,0.49936,1.08848,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,843.815,1.10997,0.54471,1.0888,0.98079,0.93052,0.96326,0.67316,1.1134,0.49544,1.09364,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,884.115,1.11849,0.54241,1.09401,0.974,0.93941,0.96529,0.68067,1.09388,0.48125,1.08503,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,924.926,1.11201,0.53873,1.08867,0.97976,0.92602,0.96274,0.6767,1.10995,0.48287,1.09197,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,965.67,1.09791,0.52381,1.08159,0.98748,0.93424,0.96801,0.67852,1.10374,0.47114,1.08779,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1006.58,1.09344,0.51648,1.07822,0.98551,0.92962,0.96688,0.68033,1.1131,0.4766,1.09408,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1048.05,1.08746,0.51821,1.07572,0.97769,0.93531,0.96523,0.67758,1.09532,0.46539,1.07993,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1089.03,1.0751,0.51251,1.06564,0.98189,0.93876,0.97001,0.68694,1.09428,0.4546,1.074,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1130.07,1.08362,0.51003,1.07758,0.9806,0.93622,0.96735,0.69347,1.08121,0.45372,1.07779,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1173.01,1.08005,0.50684,1.06882,0.98044,0.93623,0.96649,0.68601,1.09838,0.44994,1.07579,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1218.65,1.07062,0.5012,1.06466,0.98367,0.93292,0.96561,0.68378,1.08479,0.45381,1.07046,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1264.28,1.0681,0.50089,1.06423,0.9889,0.93383,0.97007,0.69465,1.07224,0.44469,1.07664,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1310.01,1.05921,0.49073,1.06693,0.97372,0.94214,0.96986,0.69558,1.07911,0.44206,1.06366,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1355.73,1.05974,0.48967,1.05951,0.98849,0.93916,0.97459,0.7021,1.08078,0.43646,1.06642,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1401.27,1.06025,0.48796,1.06328,0.98193,0.9408,0.97194,0.68613,1.08829,0.43852,1.07596,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1446.74,1.06336,0.48953,1.06356,0.97924,0.94559,0.97167,0.69691,1.07392,0.43588,1.07152,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1491.83,1.06311,0.49374,1.05989,0.97914,0.94108,0.97162,0.69393,1.08339,0.43592,1.06997,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1536.8,1.05311,0.48308,1.05838,0.98182,0.94214,0.97404,0.69652,1.07825,0.43489,1.07109,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1581.83,1.05783,0.48461,1.06179,0.98709,0.94624,0.97286,0.69239,1.07942,0.43609,1.06268,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1626.56,1.04842,0.476,1.0595,0.98479,0.94367,0.97355,0.70085,1.07732,0.42228,1.06499,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1671.77,1.04398,0.47534,1.04999,0.98662,0.94031,0.97297,0.69619,1.08025,0.42742,1.06248,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1716.92,1.03131,0.47167,1.04598,0.9862,0.94442,0.97499,0.70769,1.06663,0.4126,1.06074,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1762.1,1.04198,0.47381,1.05169,0.98856,0.94444,0.97755,0.70579,1.06809,0.41762,1.0653,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1807.47,1.02649,0.46525,1.04478,0.98247,0.94494,0.97275,0.69839,1.06817,0.41804,1.06461,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1852.85,1.03271,0.46612,1.04544,0.98088,0.9467,0.97401,0.70287,1.06607,0.40897,1.06019,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1897.96,1.03178,0.46359,1.05172,0.97835,0.94715,0.97259,0.70642,1.05917,0.40774,1.06096,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1943.26,1.02128,0.45997,1.04298,0.98665,0.94288,0.97609,0.70377,1.05965,0.40483,1.05187,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1988.55,1.02023,0.46349,1.04145,0.98294,0.94486,0.97376,0.69778,1.06751,0.40746,1.0538,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2034,1.02308,0.45303,1.04185,0.97852,0.95034,0.97562,0.70661,1.06611,0.40481,1.05086,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2079.75,1.0148,0.45252,1.03917,0.98608,0.94214,0.97359,0.70239,1.05678,0.4077,1.05444,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2124.69,1.01705,0.45138,1.0454,0.97976,0.94807,0.9757,0.70599,1.05825,0.40241,1.05473,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2169.86,1.01332,0.44655,1.04002,0.98247,0.94485,0.97197,0.7064,1.06752,0.39846,1.05564,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2214.79,1.00901,0.45025,1.04181,0.98492,0.94579,0.97501,0.71729,1.04733,0.39146,1.04935,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2259.97,1.01021,0.44561,1.03498,0.98485,0.94796,0.97558,0.71331,1.0583,0.3982,1.04807,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2305.18,1.00206,0.43816,1.0344,0.98713,0.9438,0.97668,0.71189,1.05018,0.39462,1.0447,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2350.07,0.99737,0.43893,1.02838,0.9857,0.94225,0.97704,0.71294,1.06314,0.39773,1.05468,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2395.54,1.00928,0.43963,1.03777,0.98467,0.94351,0.97531,0.70894,1.06177,0.39502,1.05881,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2440.85,0.99847,0.43455,1.03889,0.98019,0.94666,0.97355,0.71447,1.05302,0.38856,1.05268,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2485.46,0.99051,0.43422,1.0315,0.98416,0.94989,0.97736,0.71527,1.05257,0.3833,1.05239,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2530.5,0.98615,0.42808,1.02744,0.98392,0.94801,0.97682,0.71425,1.05546,0.38384,1.04769,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2575.66,0.98031,0.42934,1.02213,0.98632,0.95272,0.97672,0.71541,1.05131,0.38368,1.04924,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2620.56,0.98356,0.42837,1.03032,0.98306,0.95173,0.97532,0.71159,1.05779,0.38376,1.05328,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2665.8,0.9787,0.42569,1.02495,0.98068,0.94831,0.9762,0.71135,1.05663,0.3816,1.04646,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2711.18,0.9769,0.42373,1.02394,0.98396,0.9501,0.97663,0.7113,1.0503,0.38021,1.04487,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2756.06,0.97428,0.41943,1.02042,0.9881,0.94569,0.97726,0.71296,1.05219,0.37747,1.04369,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2801.51,0.97319,0.41482,1.02093,0.98194,0.95353,0.9787,0.71239,1.05598,0.37768,1.05063,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2847.01,0.96389,0.41574,1.01936,0.97257,0.959,0.9768,0.71117,1.05259,0.37347,1.048,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2889.05,0.95983,0.41425,1.01422,0.98909,0.94978,0.97556,0.70914,1.05409,0.37458,1.04382,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2929.28,0.96377,0.41196,1.02007,0.98484,0.947,0.97564,0.71132,1.0561,0.37447,1.04724,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2969.51,0.95627,0.40977,1.00973,0.98242,0.94806,0.97551,0.71053,1.05338,0.37454,1.04394,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3009.71,0.952,0.40818,1.01323,0.98212,0.95308,0.97783,0.71178,1.05744,0.37184,1.04906,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3049.92,0.943,0.40035,1.01292,0.98535,0.94988,0.9771,0.71639,1.05055,0.37063,1.05006,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3090.59,0.95296,0.40464,1.01441,0.98443,0.95069,0.97683,0.71417,1.05292,0.36945,1.05266,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3130.83,0.94097,0.39972,1.00843,0.98493,0.95399,0.97808,0.71431,1.05077,0.36757,1.04641,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3170.99,0.94072,0.39883,1.00684,0.98492,0.95206,0.97664,0.70913,1.05415,0.37162,1.05036,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3211.28,0.94668,0.40025,1.00822,0.98585,0.95249,0.9783,0.71259,1.05119,0.3673,1.04412,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3251.71,0.94142,0.39654,1.00527,0.98187,0.95216,0.9781,0.71583,1.05056,0.36604,1.04348,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3291.72,0.93917,0.39723,1.00772,0.98622,0.94532,0.97691,0.71646,1.04736,0.3651,1.04191,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3332.01,0.92664,0.39083,1.00352,0.98489,0.95054,0.9782,0.71508,1.0522,0.3657,1.04374,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3372.39,0.92609,0.39412,1.00226,0.98114,0.95034,0.97661,0.71468,1.05423,0.36655,1.04354,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3412.61,0.9207,0.38527,0.99865,0.98218,0.95308,0.97789,0.71564,1.05581,0.36641,1.04712,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3452.46,0.9176,0.3855,0.99747,0.98218,0.95125,0.97665,0.71509,1.05606,0.36486,1.04883,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3492.47,0.9226,0.38339,0.99758,0.98689,0.95034,0.97791,0.71359,1.05674,0.36834,1.04853,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3532.97,0.91463,0.3824,0.9965,0.9849,0.95088,0.9779,0.71309,1.06002,0.36875,1.04688,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3577.73,0.90321,0.37529,0.99394,0.98399,0.95194,0.97806,0.71337,1.05908,0.36785,1.0462,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3623.45,0.90743,0.3771,0.99311,0.98526,0.95171,0.9782,0.71503,1.05835,0.36508,1.04641,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3667.14,0.90411,0.37234,0.99535,0.98196,0.95399,0.97813,0.71622,1.05945,0.36396,1.04567,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3709.73,0.90409,0.37348,0.99434,0.98156,0.95308,0.97743,0.71529,1.06245,0.364,1.0485,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3751.84,0.90381,0.37317,0.99149,0.98355,0.9536,0.97709,0.71477,1.0597,0.36362,1.04875,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3795.47,0.89058,0.36611,0.98923,0.98336,0.95444,0.97799,0.71547,1.05993,0.36388,1.04806,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3839.61,0.89494,0.36553,0.99209,0.98312,0.95524,0.97806,0.71515,1.06124,0.36226,1.04886,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,3883.02,0.89358,0.36483,0.99058,0.98572,0.95444,0.97805,0.71588,1.0609,0.36261,1.04931,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,3996.95,0.88269,0.33073,0.99351,0.98008,0.95626,0.97712,0.71287,1.0633,0.36466,1.05458,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4037.6,0.8655,0.32561,0.98916,0.97952,0.95857,0.9779,0.71425,1.06302,0.36566,1.05479,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
